,punctuality,lying,happiness,energy-levels,internet-usage,loneliness,assertiveness,workaholism,age,height,weight,siblings,gender,dominant-hand,locality
565,i am always on time,only to avoid hurting someone,1.0,3.0,few hours a day,5.0,3.0,1.0,16.0,165.0,49.0,2.0,female,right handed,city
895,i am often running late,sometimes,3.0,3.0,few hours a day,3.0,3.0,2.0,16.0,162.0,65.0,1.0,male,right handed,village
333,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,5.0,3.0,16.0,174.0,65.0,1.0,female,right handed,city
556,i am always on time,sometimes,3.0,4.0,few hours a day,2.0,3.0,2.0,16.0,168.0,50.0,0.0,female,right handed,city
770,i am often early,only to avoid hurting someone,1.0,2.0,less than an hour a day,1.0,3.0,5.0,16.0,170.0,54.0,2.0,female,right handed,city
348,i am always on time,sometimes,5.0,5.0,few hours a day,3.0,3.0,3.0,16.0,182.0,75.0,1.0,male,right handed,city
787,i am often early,everytime it suits me,4.0,3.0,few hours a day,2.0,4.0,1.0,16.0,177.0,70.0,1.0,male,right handed,city
940,i am often running late,sometimes,4.0,4.0,few hours a day,2.0,4.0,1.0,16.0,172.0,59.0,4.0,male,right handed,city
293,i am always on time,only to avoid hurting someone,1.0,1.0,few hours a day,4.0,4.0,2.0,16.0,167.0,62.0,1.0,female,right handed,village
730,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,5.0,3.0,16.0,160.0,49.0,1.0,female,right handed,village
551,i am often running late,sometimes,4.0,4.0,less than an hour a day,2.0,3.0,2.0,16.0,,,0.0,female,right handed,village
309,i am often running late,sometimes,5.0,4.0,few hours a day,2.0,3.0,2.0,16.0,158.0,50.0,0.0,female,right handed,village
509,i am always on time,sometimes,4.0,5.0,few hours a day,1.0,5.0,1.0,16.0,168.0,,1.0,female,right handed,village
1000,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,3.0,1.0,16.0,153.0,62.0,1.0,female,right handed,city
396,i am always on time,sometimes,3.0,3.0,few hours a day,4.0,5.0,3.0,16.0,164.0,50.0,0.0,female,right handed,city
134,i am always on time,only to avoid hurting someone,1.0,1.0,few hours a day,5.0,3.0,5.0,16.0,170.0,59.0,1.0,female,right handed,village
341,i am often early,everytime it suits me,1.0,2.0,most of the day,5.0,1.0,1.0,16.0,186.0,63.0,1.0,male,right handed,village
947,i am often early,only to avoid hurting someone,3.0,3.0,few hours a day,4.0,3.0,3.0,16.0,180.0,55.0,1.0,female,right handed,village
318,i am always on time,sometimes,3.0,3.0,less than an hour a day,3.0,3.0,4.0,16.0,169.0,48.0,0.0,female,right handed,city
409,i am always on time,sometimes,5.0,5.0,few hours a day,5.0,3.0,3.0,16.0,165.0,50.0,0.0,female,right handed,city
235,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,3.0,2.0,16.0,174.0,64.0,0.0,female,right handed,city
782,i am often early,sometimes,4.0,5.0,most of the day,3.0,4.0,3.0,17.0,170.0,55.0,3.0,female,right handed,village
856,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,2.0,4.0,3.0,17.0,156.0,51.0,1.0,female,right handed,city
779,i am often running late,only to avoid hurting someone,4.0,5.0,less than an hour a day,1.0,3.0,5.0,17.0,167.0,48.0,0.0,female,right handed,village
595,i am often early,everytime it suits me,1.0,1.0,most of the day,5.0,4.0,1.0,17.0,168.0,67.0,1.0,male,right handed,village
587,i am always on time,sometimes,3.0,4.0,few hours a day,4.0,2.0,1.0,17.0,165.0,65.0,3.0,female,right handed,city
346,i am always on time,everytime it suits me,3.0,3.0,few hours a day,2.0,4.0,1.0,17.0,185.0,70.0,1.0,male,right handed,city
589,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,3.0,4.0,1.0,17.0,173.0,66.0,1.0,female,right handed,village
921,i am often early,sometimes,4.0,3.0,few hours a day,2.0,4.0,2.0,17.0,185.0,84.0,0.0,male,right handed,city
349,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,2.0,5.0,2.0,17.0,170.0,65.0,2.0,female,right handed,city
115,i am often early,sometimes,4.0,2.0,few hours a day,5.0,3.0,2.0,17.0,175.0,62.0,0.0,female,right handed,city
800,i am often early,only to avoid hurting someone,4.0,1.0,few hours a day,2.0,4.0,5.0,17.0,185.0,70.0,2.0,male,right handed,city
850,i am often early,sometimes,4.0,3.0,few hours a day,2.0,5.0,3.0,17.0,175.0,68.0,0.0,female,right handed,city
632,i am often early,only to avoid hurting someone,4.0,5.0,few hours a day,3.0,4.0,3.0,17.0,178.0,80.0,1.0,male,right handed,village
641,i am often running late,only to avoid hurting someone,3.0,3.0,most of the day,4.0,4.0,2.0,17.0,175.0,76.0,2.0,male,right handed,city
865,i am often early,sometimes,4.0,4.0,less than an hour a day,2.0,2.0,3.0,17.0,182.0,79.0,2.0,female,right handed,city
649,i am often running late,sometimes,4.0,3.0,few hours a day,4.0,3.0,4.0,17.0,174.0,56.0,1.0,female,right handed,city
831,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,3.0,3.0,17.0,170.0,50.0,2.0,female,right handed,village
175,i am often early,sometimes,3.0,3.0,few hours a day,3.0,5.0,1.0,17.0,163.0,61.0,2.0,female,right handed,city
821,i am always on time,everytime it suits me,2.0,2.0,few hours a day,4.0,4.0,3.0,17.0,185.0,99.0,1.0,male,right handed,city
819,i am always on time,sometimes,5.0,5.0,less than an hour a day,1.0,4.0,2.0,17.0,160.0,48.0,0.0,female,right handed,city
377,i am often early,everytime it suits me,3.0,3.0,few hours a day,4.0,4.0,3.0,17.0,158.0,70.0,0.0,female,right handed,village
812,i am always on time,sometimes,5.0,3.0,few hours a day,2.0,3.0,2.0,17.0,175.0,60.0,1.0,female,right handed,city
189,i am often early,sometimes,3.0,4.0,few hours a day,4.0,2.0,4.0,17.0,166.0,54.0,1.0,female,right handed,city
369,i am often early,only to avoid hurting someone,2.0,3.0,less than an hour a day,2.0,4.0,3.0,17.0,180.0,78.0,1.0,male,left handed,village
893,i am always on time,only to avoid hurting someone,4.0,3.0,less than an hour a day,3.0,3.0,2.0,17.0,165.0,58.0,0.0,female,right handed,village
108,i am often early,sometimes,2.0,3.0,few hours a day,5.0,4.0,2.0,17.0,168.0,61.0,1.0,female,right handed,city
805,i am often early,sometimes,3.0,5.0,few hours a day,3.0,4.0,4.0,17.0,165.0,53.0,3.0,female,left handed,city
691,i am often running late,only to avoid hurting someone,4.0,5.0,less than an hour a day,4.0,4.0,3.0,17.0,168.0,70.0,0.0,female,right handed,city
216,i am always on time,sometimes,3.0,4.0,few hours a day,3.0,2.0,4.0,17.0,163.0,68.0,0.0,female,right handed,city
70,i am always on time,never,5.0,4.0,few hours a day,3.0,3.0,3.0,17.0,185.0,82.0,1.0,male,right handed,city
517,i am always on time,sometimes,4.0,5.0,few hours a day,1.0,5.0,3.0,17.0,174.0,55.0,1.0,female,right handed,village
933,i am often running late,sometimes,3.0,4.0,few hours a day,4.0,3.0,2.0,17.0,170.0,50.0,3.0,female,right handed,city
717,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,2.0,3.0,17.0,173.0,54.0,1.0,female,right handed,city
718,i am often running late,only to avoid hurting someone,3.0,3.0,less than an hour a day,4.0,3.0,3.0,17.0,171.0,57.0,1.0,female,right handed,city
329,i am always on time,everytime it suits me,3.0,3.0,few hours a day,5.0,4.0,3.0,17.0,160.0,60.0,1.0,female,right handed,city
749,i am often early,everytime it suits me,3.0,3.0,few hours a day,3.0,3.0,3.0,17.0,175.0,64.0,0.0,male,right handed,city
331,i am always on time,sometimes,4.0,5.0,few hours a day,3.0,3.0,1.0,17.0,182.0,92.0,1.0,male,right handed,village
965,i am often running late,everytime it suits me,5.0,5.0,few hours a day,5.0,5.0,1.0,17.0,170.0,65.0,2.0,female,right handed,city
335,i am always on time,only to avoid hurting someone,3.0,1.0,few hours a day,4.0,4.0,3.0,17.0,185.0,73.0,1.0,male,right handed,city
550,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,5.0,3.0,1.0,17.0,163.0,49.0,3.0,female,left handed,village
740,i am always on time,sometimes,3.0,4.0,less than an hour a day,2.0,3.0,3.0,17.0,182.0,84.0,1.0,male,right handed,city
269,i am often early,sometimes,4.0,3.0,few hours a day,3.0,2.0,4.0,17.0,158.0,57.0,1.0,female,right handed,village
336,i am always on time,sometimes,4.0,3.0,few hours a day,2.0,3.0,5.0,17.0,170.0,60.0,1.0,male,left handed,city
573,i am often running late,everytime it suits me,4.0,4.0,most of the day,1.0,3.0,1.0,17.0,183.0,75.0,3.0,male,right handed,city
253,i am often early,never,3.0,3.0,few hours a day,4.0,5.0,3.0,17.0,167.0,57.0,2.0,female,left handed,city
337,i am often running late,everytime it suits me,5.0,4.0,few hours a day,2.0,5.0,1.0,17.0,182.0,76.0,2.0,male,right handed,city
535,i am always on time,sometimes,5.0,5.0,few hours a day,3.0,4.0,1.0,17.0,175.0,60.0,2.0,male,right handed,village
11,i am often running late,everytime it suits me,3.0,3.0,few hours a day,4.0,4.0,3.0,17.0,176.0,60.0,1.0,female,right handed,city
773,i am often running late,only to avoid hurting someone,4.0,5.0,less than an hour a day,4.0,3.0,2.0,17.0,168.0,70.0,0.0,female,right handed,city
65,i am often early,everytime it suits me,3.0,3.0,few hours a day,3.0,5.0,3.0,17.0,185.0,84.0,1.0,male,left handed,city
709,i am often running late,only to avoid hurting someone,3.0,4.0,less than an hour a day,3.0,3.0,3.0,17.0,167.0,70.0,0.0,female,right handed,city
465,i am often running late,sometimes,4.0,4.0,less than an hour a day,1.0,3.0,5.0,17.0,157.0,46.0,1.0,female,right handed,city
243,i am often early,everytime it suits me,2.0,3.0,few hours a day,5.0,2.0,5.0,17.0,178.0,70.0,0.0,female,right handed,city
731,i am always on time,sometimes,4.0,4.0,few hours a day,4.0,3.0,5.0,18.0,163.0,57.0,1.0,female,right handed,city
300,i am often running late,everytime it suits me,5.0,4.0,most of the day,2.0,3.0,5.0,18.0,165.0,65.0,1.0,female,right handed,city
324,i am often running late,sometimes,3.0,4.0,few hours a day,3.0,4.0,2.0,18.0,168.0,65.0,1.0,female,right handed,city
622,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,5.0,4.0,18.0,161.0,74.0,1.0,female,right handed,city
688,i am often early,sometimes,3.0,3.0,few hours a day,4.0,3.0,3.0,18.0,165.0,48.0,2.0,female,right handed,city
322,i am always on time,everytime it suits me,4.0,5.0,few hours a day,2.0,3.0,5.0,18.0,160.0,50.0,1.0,female,right handed,city
319,i am often running late,sometimes,5.0,2.0,few hours a day,1.0,1.0,4.0,18.0,166.0,65.0,1.0,female,left handed,city
728,i am often running late,sometimes,2.0,5.0,few hours a day,3.0,3.0,3.0,18.0,180.0,75.0,1.0,female,right handed,village
674,i am often early,sometimes,4.0,5.0,less than an hour a day,2.0,4.0,1.0,18.0,173.0,67.0,1.0,male,right handed,city
280,i am often running late,never,2.0,5.0,few hours a day,5.0,5.0,2.0,18.0,178.0,69.0,1.0,female,right handed,city
820,i am always on time,sometimes,5.0,4.0,few hours a day,2.0,2.0,1.0,18.0,162.0,55.0,1.0,female,right handed,city
631,i am often early,sometimes,5.0,5.0,few hours a day,2.0,5.0,4.0,18.0,154.0,67.0,1.0,female,right handed,village
747,i am always on time,never,4.0,4.0,few hours a day,2.0,5.0,4.0,18.0,170.0,75.0,2.0,female,right handed,city
656,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,3.0,5.0,18.0,159.0,52.0,1.0,female,left handed,city
741,i am always on time,sometimes,3.0,4.0,few hours a day,4.0,5.0,5.0,18.0,173.0,65.0,3.0,female,right handed,city
720,i am often running late,never,4.0,4.0,few hours a day,3.0,5.0,4.0,18.0,170.0,75.0,2.0,female,right handed,city
723,i am often early,sometimes,4.0,,few hours a day,3.0,4.0,5.0,18.0,175.0,58.0,1.0,female,right handed,city
295,i am always on time,everytime it suits me,3.0,3.0,few hours a day,2.0,3.0,2.0,18.0,167.0,57.0,1.0,female,right handed,village
644,i am often running late,only to avoid hurting someone,4.0,4.0,few hours a day,2.0,4.0,4.0,18.0,165.0,55.0,3.0,female,right handed,village
311,i am often early,everytime it suits me,5.0,5.0,few hours a day,3.0,5.0,3.0,18.0,167.0,57.0,0.0,female,right handed,city
643,i am always on time,sometimes,4.0,,few hours a day,2.0,3.0,5.0,18.0,169.0,53.0,2.0,female,right handed,village
639,i am often early,sometimes,2.0,3.0,few hours a day,5.0,3.0,3.0,18.0,178.0,70.0,1.0,male,right handed,city
729,i am often early,only to avoid hurting someone,3.0,5.0,few hours a day,3.0,4.0,3.0,18.0,192.0,90.0,1.0,male,right handed,city
759,i am often early,sometimes,4.0,4.0,few hours a day,4.0,3.0,4.0,18.0,192.0,91.0,0.0,male,right handed,village
345,i am often early,sometimes,4.0,4.0,less than an hour a day,3.0,5.0,3.0,18.0,164.0,60.0,0.0,female,right handed,city
368,i am often early,sometimes,4.0,4.0,few hours a day,3.0,5.0,3.0,18.0,179.0,55.0,1.0,female,right handed,
241,i am often early,only to avoid hurting someone,5.0,4.0,few hours a day,2.0,5.0,2.0,18.0,180.0,60.0,1.0,female,right handed,city
237,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,2.0,4.0,4.0,18.0,173.0,64.0,3.0,female,right handed,city
706,i am always on time,sometimes,4.0,5.0,few hours a day,2.0,4.0,2.0,18.0,188.0,77.0,2.0,male,right handed,city
234,i am always on time,sometimes,5.0,3.0,few hours a day,4.0,4.0,4.0,18.0,168.0,65.0,1.0,female,right handed,village
233,i am always on time,sometimes,5.0,4.0,few hours a day,2.0,3.0,3.0,18.0,165.0,48.0,1.0,female,right handed,city
347,i am often early,everytime it suits me,3.0,4.0,most of the day,4.0,5.0,5.0,18.0,175.0,65.0,1.0,male,left handed,city
340,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,5.0,4.0,18.0,158.0,53.0,2.0,female,right handed,village
339,i am always on time,everytime it suits me,4.0,5.0,few hours a day,3.0,3.0,5.0,18.0,160.0,50.0,2.0,female,right handed,city
780,i am always on time,sometimes,4.0,3.0,few hours a day,3.0,5.0,3.0,18.0,174.0,64.0,1.0,male,right handed,city
771,i am often running late,everytime it suits me,2.0,3.0,few hours a day,3.0,2.0,2.0,18.0,174.0,64.0,0.0,male,right handed,city
353,i am often running late,sometimes,3.0,3.0,few hours a day,4.0,1.0,4.0,18.0,166.0,60.0,1.0,female,right handed,city
220,i am always on time,only to avoid hurting someone,5.0,4.0,few hours a day,2.0,3.0,1.0,18.0,200.0,90.0,2.0,male,right handed,village
788,i am always on time,sometimes,3.0,5.0,less than an hour a day,3.0,5.0,2.0,18.0,158.0,50.0,2.0,female,left handed,city
192,i am often running late,sometimes,3.0,2.0,few hours a day,5.0,5.0,2.0,18.0,158.0,,2.0,female,right handed,city
218,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,4.0,2.0,3.0,18.0,182.0,70.0,2.0,male,right handed,village
356,i am always on time,sometimes,3.0,3.0,few hours a day,1.0,2.0,3.0,18.0,185.0,74.0,1.0,male,left handed,city
214,i am often early,sometimes,3.0,3.0,less than an hour a day,4.0,3.0,2.0,18.0,173.0,55.0,3.0,female,right handed,city
696,i am often early,only to avoid hurting someone,3.0,2.0,less than an hour a day,4.0,3.0,2.0,18.0,168.0,62.0,1.0,female,right handed,city
693,i am always on time,sometimes,3.0,3.0,few hours a day,5.0,1.0,3.0,18.0,171.0,69.0,1.0,female,right handed,village
798,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,3.0,3.0,18.0,160.0,55.0,2.0,female,right handed,city
799,i am often early,only to avoid hurting someone,3.0,2.0,few hours a day,4.0,3.0,4.0,18.0,203.0,89.0,2.0,male,right handed,city
518,i am always on time,only to avoid hurting someone,3.0,5.0,less than an hour a day,4.0,5.0,3.0,18.0,171.0,62.0,1.0,female,right handed,city
201,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,4.0,3.0,18.0,168.0,56.0,0.0,,right handed,village
261,i am often early,sometimes,3.0,3.0,few hours a day,4.0,3.0,4.0,18.0,170.0,50.0,1.0,female,right handed,city
778,i am always on time,sometimes,5.0,4.0,few hours a day,2.0,3.0,2.0,18.0,165.0,55.0,0.0,female,right handed,city
328,i am often running late,sometimes,4.0,5.0,few hours a day,3.0,5.0,3.0,18.0,193.0,84.0,0.0,male,right handed,city
689,i am always on time,sometimes,4.0,3.0,few hours a day,3.0,5.0,4.0,18.0,174.0,64.0,1.0,male,right handed,city
809,i am always on time,sometimes,4.0,4.0,most of the day,1.0,4.0,4.0,18.0,176.0,76.0,0.0,male,right handed,city
765,i am often early,sometimes,4.0,4.0,few hours a day,4.0,4.0,2.0,18.0,186.0,76.0,1.0,male,right handed,village
690,i am always on time,sometimes,3.0,3.0,few hours a day,3.0,2.0,3.0,18.0,182.0,63.0,1.0,male,right handed,city
304,i am always on time,everytime it suits me,5.0,4.0,few hours a day,3.0,5.0,3.0,18.0,160.0,53.0,2.0,female,right handed,city
613,i am always on time,sometimes,4.0,4.0,most of the day,4.0,4.0,3.0,18.0,162.0,58.0,1.0,female,right handed,city
442,i am always on time,only to avoid hurting someone,4.0,3.0,few hours a day,4.0,5.0,3.0,18.0,163.0,58.0,6.0,female,right handed,city
562,i am often early,everytime it suits me,3.0,4.0,less than an hour a day,3.0,4.0,3.0,18.0,170.0,70.0,0.0,male,right handed,village
915,i am often running late,everytime it suits me,4.0,3.0,few hours a day,3.0,4.0,2.0,18.0,170.0,65.0,1.0,female,right handed,city
36,i am often early,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,2.0,3.0,18.0,173.0,65.0,1.0,female,right handed,city
438,i am often early,sometimes,4.0,2.0,few hours a day,5.0,3.0,3.0,18.0,180.0,74.0,2.0,female,right handed,village
910,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,3.0,3.0,18.0,165.0,48.0,0.0,female,right handed,city
99,i am always on time,only to avoid hurting someone,4.0,3.0,less than an hour a day,3.0,3.0,2.0,18.0,162.0,50.0,1.0,female,left handed,city
91,i am often running late,sometimes,5.0,5.0,few hours a day,2.0,4.0,5.0,18.0,168.0,50.0,4.0,female,right handed,village
908,i am always on time,sometimes,3.0,4.0,few hours a day,4.0,2.0,4.0,18.0,184.0,81.0,1.0,male,right handed,city
437,i am always on time,sometimes,4.0,2.0,few hours a day,3.0,3.0,1.0,18.0,163.0,55.0,0.0,female,right handed,city
980,i am often early,sometimes,5.0,4.0,less than an hour a day,2.0,5.0,4.0,18.0,166.0,53.0,2.0,female,right handed,city
435,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,4.0,2.0,18.0,173.0,60.0,1.0,female,right handed,city
434,i am often early,sometimes,4.0,4.0,few hours a day,4.0,5.0,3.0,18.0,184.0,83.0,1.0,male,right handed,city
53,i am always on time,only to avoid hurting someone,4.0,5.0,less than an hour a day,3.0,5.0,2.0,18.0,164.0,51.0,4.0,female,right handed,city
109,i am often running late,everytime it suits me,3.0,3.0,few hours a day,4.0,5.0,1.0,18.0,176.0,65.0,0.0,male,right handed,city
982,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,3.0,1.0,18.0,178.0,70.0,2.0,male,right handed,city
101,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,2.0,4.0,18.0,194.0,90.0,1.0,male,right handed,village
553,i am often early,sometimes,3.0,3.0,few hours a day,3.0,3.0,3.0,18.0,170.0,53.0,1.0,female,right handed,village
971,i am often running late,sometimes,4.0,2.0,few hours a day,2.0,2.0,4.0,18.0,177.0,60.0,1.0,male,right handed,city
477,i am often running late,only to avoid hurting someone,2.0,4.0,most of the day,4.0,4.0,2.0,18.0,169.0,53.0,3.0,female,right handed,city
949,i am often early,everytime it suits me,4.0,2.0,most of the day,3.0,5.0,1.0,18.0,164.0,56.0,3.0,female,right handed,city
948,i am often early,sometimes,4.0,4.0,few hours a day,2.0,5.0,2.0,18.0,170.0,75.0,1.0,female,right handed,village
458,i am often running late,only to avoid hurting someone,3.0,3.0,few hours a day,1.0,5.0,5.0,18.0,168.0,52.0,1.0,female,right handed,village
941,i am often running late,everytime it suits me,3.0,4.0,few hours a day,5.0,5.0,2.0,18.0,172.0,55.0,3.0,female,right handed,village
64,i am often running late,only to avoid hurting someone,4.0,4.0,most of the day,1.0,4.0,3.0,18.0,180.0,52.0,0.0,female,right handed,city
468,i am often early,sometimes,5.0,3.0,few hours a day,2.0,3.0,3.0,18.0,173.0,60.0,1.0,female,right handed,village
68,i am often early,sometimes,4.0,3.0,few hours a day,4.0,2.0,4.0,18.0,162.0,50.0,1.0,female,right handed,village
443,i am always on time,only to avoid hurting someone,4.0,3.0,few hours a day,4.0,4.0,4.0,18.0,162.0,54.0,3.0,female,right handed,village
937,i am often running late,sometimes,4.0,3.0,few hours a day,5.0,3.0,1.0,18.0,167.0,62.0,4.0,female,right handed,village
931,i am often running late,only to avoid hurting someone,4.0,5.0,most of the day,4.0,2.0,4.0,18.0,178.0,80.0,2.0,male,right handed,city
930,i am always on time,only to avoid hurting someone,3.0,3.0,few hours a day,5.0,3.0,2.0,18.0,165.0,45.0,5.0,female,left handed,city
82,i am often running late,sometimes,3.0,2.0,few hours a day,5.0,5.0,2.0,18.0,163.0,47.0,1.0,female,right handed,city
967,i am always on time,only to avoid hurting someone,5.0,4.0,few hours a day,2.0,3.0,2.0,18.0,187.0,71.0,1.0,male,right handed,city
475,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,4.0,2.0,18.0,172.0,60.0,4.0,female,right handed,city
411,i am often running late,sometimes,4.0,5.0,few hours a day,2.0,5.0,5.0,18.0,173.0,60.0,0.0,female,right handed,city
87,i am often early,sometimes,4.0,5.0,few hours a day,1.0,5.0,4.0,18.0,159.0,50.0,3.0,female,right handed,village
76,i am always on time,sometimes,4.0,5.0,few hours a day,2.0,3.0,4.0,18.0,188.0,75.0,1.0,male,right handed,city
995,i am often early,only to avoid hurting someone,3.0,3.0,few hours a day,4.0,4.0,3.0,18.0,163.0,53.0,0.0,female,right handed,city
107,i am always on time,only to avoid hurting someone,5.0,5.0,less than an hour a day,1.0,2.0,5.0,18.0,178.0,55.0,1.0,female,right handed,city
131,i am often early,sometimes,4.0,4.0,few hours a day,3.0,5.0,1.0,18.0,193.0,103.0,2.0,male,right handed,village
117,i am often early,sometimes,3.0,3.0,few hours a day,4.0,4.0,1.0,18.0,165.0,55.0,3.0,female,right handed,village
869,i am always on time,everytime it suits me,2.0,3.0,few hours a day,4.0,1.0,5.0,18.0,170.0,54.0,1.0,female,right handed,city
135,i am often early,sometimes,3.0,2.0,few hours a day,3.0,2.0,1.0,18.0,185.0,62.0,1.0,male,right handed,village
868,i am always on time,everytime it suits me,5.0,3.0,few hours a day,2.0,2.0,2.0,18.0,187.0,85.0,0.0,male,right handed,village
421,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,4.0,4.0,18.0,168.0,55.0,1.0,female,left handed,village
609,i am always on time,sometimes,5.0,5.0,few hours a day,3.0,5.0,4.0,18.0,188.0,73.0,2.0,male,right handed,city
1001,i am always on time,sometimes,3.0,4.0,few hours a day,2.0,4.0,3.0,18.0,160.0,63.0,2.0,female,right handed,city
418,i am often early,only to avoid hurting someone,4.0,4.0,less than an hour a day,2.0,3.0,3.0,18.0,172.0,60.0,1.0,female,right handed,village
417,i am often early,only to avoid hurting someone,4.0,2.0,most of the day,5.0,4.0,2.0,18.0,180.0,60.0,1.0,male,right handed,village
861,i am often running late,sometimes,4.0,4.0,few hours a day,2.0,5.0,1.0,18.0,172.0,55.0,1.0,female,right handed,city
522,i am often running late,only to avoid hurting someone,4.0,4.0,few hours a day,1.0,4.0,2.0,18.0,165.0,57.0,2.0,female,right handed,city
1007,i am often running late,only to avoid hurting someone,3.0,1.0,most of the day,4.0,1.0,1.0,18.0,173.0,75.0,0.0,female,right handed,city
611,i am often early,everytime it suits me,4.0,4.0,most of the day,3.0,3.0,3.0,18.0,168.0,57.0,0.0,female,right handed,city
147,i am often early,sometimes,4.0,3.0,most of the day,4.0,2.0,5.0,18.0,185.0,83.0,2.0,male,right handed,city
414,i am often running late,never,5.0,5.0,few hours a day,1.0,5.0,3.0,18.0,167.0,56.0,2.0,male,right handed,city
8,i am often early,sometimes,3.0,1.0,few hours a day,4.0,1.0,4.0,18.0,166.0,55.0,1.0,female,right handed,city
15,i am always on time,only to avoid hurting someone,2.0,4.0,few hours a day,4.0,5.0,5.0,18.0,177.0,77.0,0.0,male,right handed,city
463,i am often running late,never,2.0,2.0,less than an hour a day,5.0,4.0,4.0,18.0,164.0,60.0,0.0,female,right handed,city
881,i am always on time,everytime it suits me,2.0,3.0,few hours a day,3.0,2.0,5.0,18.0,170.0,54.0,1.0,female,right handed,city
18,i am often early,only to avoid hurting someone,3.0,3.0,few hours a day,4.0,3.0,4.0,18.0,181.0,78.0,2.0,male,right handed,city
880,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,3.0,1.0,18.0,162.0,54.0,1.0,female,right handed,city
874,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,3.0,1.0,18.0,162.0,54.0,1.0,female,right handed,city
428,i am often running late,sometimes,4.0,3.0,few hours a day,4.0,5.0,4.0,18.0,164.0,56.0,2.0,female,right handed,city
